date;rainfallMm;temperatureC
1961-01;37.1;0.4
1961-02;33.6;3.1
1961-03;31.7;5.4
1961-04;23.0;7.8
1961-05;49.3;11.1
1961-06;42.7;16.4
1961-07;105.7;15.7
1961-08;65.3;15.4
1961-09;48.8;14.8
1961-10;50.3;11.8
1961-11;41.0;5.1
1961-12;54.3;0.1
1962-01;57.6;1.8
1962-02;52.2;0.8
1962-03;18.1;-0.3
1962-04;42.9;6.7
1962-05;74.7;9.3
1962-06;50.3;14.0
1962-07;71.6;15.1
1962-08;94.8;14.6
1962-09;45.6;12.6
1962-10;23.2;9.8
1962-11;36.2;4.4
1962-12;36.5;-1.5
1963-01;7.3;-6.1
1963-02;16.2;-4.6
1963-03;28.8;-0.6
1963-04;55.7;4.9
1963-05;17.1;12.4
1963-06;62.6;16.2
1963-07;58.3;17.2
1963-08;178.9;16.6
1963-09;52.4;13.8
1963-10;72.6;9.5
1963-11;103.6;7.0
1963-12;4.7;-0.4
1964-01;20.1;0.6
1964-02;12.1;-0.4
1964-03;5.1;-0.2
1964-04;34.6;7.3
1964-05;34.7;12.1
1964-06;73.2;15.5
1964-07;35.9;16.1
1964-08;45.3;15.8
1964-09;59.1;13.4
1964-10;54.3;8.3
1964-11;31.4;5.8
1964-12;66.2;1.7
1965-01;49.5;1.3
1965-02;10.4;-1.1
1965-03;11.9;1.0
1965-04;40.5;5.8
1965-05;58.5;9.1
1965-06;27.7;15.3
1965-07;104.0;14.3
1965-08;28.8;15.2
1965-09;78.9;14.2
1965-10;16.3;9.5
1965-11;54.2;1.9
1965-12;84.2;1.1
1966-01;27.8;-2.6
1966-02;45.3;-1.7
1966-03;53.9;2.3
1966-04;76.8;3.2
1966-05;46.6;11.5
1966-06;73.4;16.5
1966-07;47.2;17.0
1966-08;78.4;15.4
1966-09;59.3;13.2
1966-10;46.5;9.9
1966-11;55.2;4.4
1966-12;78.7;1.9
1967-01;41.9;-0.7
1967-02;45.4;2.0
1967-03;30.3;5.0
1967-04;61.1;5.9
1967-05;57.6;11.6
1967-06;39.7;14.3
1967-07;28.6;17.5
1967-08;57.7;17.1
1967-09;94.7;14.6
1967-10;72.5;11.4
1967-11;32.3;5.8
1967-12;83.6;0.6
1968-01;63.1;-1.6
1968-02;12.3;-0.5
1968-03;34.7;3.4
1968-04;13.4;7.7
1968-05;64.6;9.7
1968-06;83.6;16.6
1968-07;82.3;15.9
1968-08;34.2;17.6
1968-09;53.5;14.6
1968-10;63.7;9.8
1968-11;58.5;5.5
1968-12;20.4;0.3
1969-01;40.8;-0.2
1969-02;36.1;-1.9
1969-03;6.2;-0.1
1969-04;41.4;5.4
1969-05;79.1;10.5
1969-06;34.6;15.9
1969-07;24.3;17.9
1969-08;81.3;18.0
1969-09;19.2;15.0
1969-10;18.0;10.6
1969-11;108.4;5.0
1969-12;24.0;-2.3
1970-01;13.5;-2.8
1970-02;28.3;-3.5
1970-03;83.4;0.2
1970-04;91.3;3.7
1970-05;45.5;10.8
1970-06;24.4;17.1
1970-07;62.2;16.0
1970-08;36.0;16.7
1970-09;57.8;12.7
1970-10;83.7;9.2
1970-11;92.6;5.0
1970-12;39.2;2.2
1971-01;42.8;0.5
1971-02;17.1;1.8
1971-03;46.5;0.6
1971-04;20.2;6.0
1971-05;42.4;12.0
1971-06;68.9;14.3
1971-07;46.7;17.5
1971-08;40.5;17.2
1971-09;45.5;12.5
1971-10;55.4;9.9
1971-11;63.1;4.6
1971-12;30.3;4.8
1972-01;20.1;-1.4
1972-02;21.5;0.6
1972-03;42.5;2.9
1972-04;58.3;6.2
1972-05;63.3;10.9
1972-06;45.8;14.6
1972-07;56.2;18.2
1972-08;82.7;16.6
1972-09;28.3;11.8
1972-10;10.0;8.7
1972-11;69.8;6.1
1972-12;17.6;4.0
1973-01;33.3;1.1
1973-02;47.7;2.4
1973-03;34.3;4.6
1973-04;61.3;5.3
1973-05;41.3;11.3
1973-06;17.9;16.0
1973-07;75.7;18.4
1973-08;23.5;16.8
1973-09;85.7;13.3
1973-10;28.3;7.4
1973-11;68.9;3.8
1973-12;48.3;1.3
1974-01;61.2;2.7
1974-02;36.0;2.9
1974-03;17.1;3.6
1974-04;1.9;7.5
1974-05;20.3;10.5
1974-06;51.0;14.5
1974-07;61.7;15.4
1974-08;59.4;16.5
1974-09;63.4;14.0
1974-10;102.3;7.4
1974-11;59.9;5.9
1974-12;86.3;4.8
1975-01;60.4;4.7
1975-02;13.0;1.7
1975-03;43.4;2.9
1975-04;58.0;5.5
1975-05;30.1;11.3
1975-06;15.8;14.7
1975-07;43.1;18.3
1975-08;19.4;19.6
1975-09;64.0;15.5
1975-10;35.8;9.3
1975-11;45.2;4.7
1975-12;25.9;4.0
1976-01;58.7;0.1
1976-02;15.3;0.1
1976-03;12.9;-0.4
1976-04;24.2;5.4
1976-05;51.3;10.8
1976-06;22.1;15.2
1976-07;45.5;18.2
1976-08;11.2;17.4
1976-09;40.5;12.9
1976-10;72.2;9.1
1976-11;43.0;5.5
1976-12;50.3;0.2
1977-01;87.6;0.1
1977-02;42.0;0.4
1977-03;46.7;3.3
1977-04;55.4;4.6
1977-05;27.4;11.2
1977-06;45.0;15.9
1977-07;67.6;16.2
1977-08;28.1;15.8
1977-09;29.5;12.4
1977-10;35.2;10.5
1977-11;59.3;6.0
1977-12;56.7;3.0
1978-01;59.3;1.4
1978-02;24.8;-1.9
1978-03;70.0;2.3
1978-04;11.2;4.8
1978-05;11.2;11.4
1978-06;51.6;15.3
1978-07;49.6;15.4
1978-08;50.1;16.4
1978-09;111.6;11.8
1978-10;41.3;9.7
1978-11;34.4;7.6
1978-12;70.9;-0.6
1979-01;37.9;-3.3
1979-02;30.2;-3.2
1979-03;81.9;1.0
1979-04;26.5;4.8
1979-05;42.0;11.0
1979-06;29.0;15.9
1979-07;45.6;14.6
1979-08;67.9;15.6
1979-09;37.4;12.7
1979-10;13.4;7.7
1979-11;89.7;5.0
1979-12;98.1;2.4
1980-01;46.3;-2.0
1980-02;34.6;-1.5
1980-03;19.8;0.3
1980-04;25.5;5.7
1980-05;33.6;9.9
1980-06;126.2;15.1
1980-07;108.1;16.5
1980-08;74.8;15.9
1980-09;41.2;13.9
1980-10;104.9;8.7
1980-11;77.2;3.9
1980-12;77.0;2.3
1981-01;54.5;-0.7
1981-02;51.6;0.7
1981-03;71.8;2.7
1981-04;15.6;5.9
1981-05;29.6;12.7
1981-06;69.5;14.5
1981-07;84.5;16.4
1981-08;76.1;16.3
1981-09;34.9;13.9
1981-10;117.0;8.8
1981-11;83.7;5.1
1981-12;48.7;-2.8
1982-01;55.0;-3.3
1982-02;14.0;-1.1
1982-03;49.7;3.5
1982-04;17.2;6.6
1982-05;44.7;11.1
1982-06;77.4;14.6
1982-07;26.2;18.5
1982-08;78.2;18.0
1982-09;24.2;14.4
1982-10;98.3;10.8
1982-11;40.7;7.1
1982-12;60.6;3.3
1983-01;45.6;4.7
1983-02;23.6;-0.4
1983-03;83.1;3.8
1983-04;81.0;6.5
1983-05;99.2;11.1
1983-06;40.7;14.9
1983-07;6.0;18.4
1983-08;22.7;17.9
1983-09;72.1;14.2
1983-10;46.8;10.0
1983-11;62.4;4.3
1983-12;63.3;1.9
1984-01;89.8;1.5
1984-02;25.2;0.4
1984-03;11.3;1.2
1984-04;22.8;6.8
1984-05;46.3;11.9
1984-06;104.9;14.2
1984-07;30.4;16.2
1984-08;48.7;17.6
1984-09;97.5;12.3
1984-10;83.3;11.4
1984-11;41.5;6.4
1984-12;38.3;2.7
1985-01;48.9;-5.0
1985-02;26.8;-5.6
1985-03;56.0;0.9
1985-04;49.8;4.6
1985-05;21.6;11.7
1985-06;54.5;14.2
1985-07;62.7;17.0
1985-08;81.4;16.1
1985-09;69.2;12.4
1985-10;17.9;10.2
1985-11;61.3;2.8
1985-12;125.9;2.9
1986-01;67.0;-1.0
1986-02;5.3;-5.1
1986-03;37.1;1.1
1986-04;28.7;4.5
1986-05;52.4;12.1
1986-06;19.0;15.2
1986-07;105.7;16.9
1986-08;39.4;15.7
1986-09;37.9;11.3
1986-10;75.9;9.5
1986-11;53.1;7.4
1986-12;67.2;2.5
1987-01;25.2;-5.7
1987-02;23.2;-1.0
1987-03;26.7;-1.8
1987-04;43.5;5.6
1987-05;49.5;9.5
1987-06;89.6;12.4
1987-07;84.6;15.3
1987-08;55.1;14.8
1987-09;68.7;13.0
1987-10;18.2;10.1
1987-11;66.5;6.0
1987-12;41.8;3.3
1988-01;87.3;3.6
1988-02;52.7;2.5
1988-03;39.5;1.7
1988-04;23.0;5.7
1988-05;23.3;12.5
1988-06;48.6;16.7
1988-07;99.4;17.5
1988-08;39.8;16.3
1988-09;64.0;14.1
1988-10;65.7;8.9
1988-11;34.0;3.6
1988-12;50.4;3.4
1989-01;6.9;4.6
1989-02;21.4;4.7
1989-03;49.0;5.7
1989-04;24.7;6.9
1989-05;9.3;12.5
1989-06;43.7;15.8
1989-07;60.8;17.9
1989-08;114.5;16.2
1989-09;14.2;14.6
1989-10;84.3;10.8
1989-11;33.1;5.1
1989-12;52.1;2.7
1990-01;41.0;4.2
1990-02;36.6;5.6
1990-03;37.0;6.3
1990-04;24.0;8.4
1990-05;30.6;13.3
1990-06;49.4;16.3
1990-07;56.9;16.8
1990-08;36.0;17.9
1990-09;130.7;12.9
1990-10;53.8;10.4
1990-11;51.7;5.2
1990-12;29.3;2.9
1991-01;46.5;2.5
1991-02;27.9;-0.5
1991-03;16.1;4.3
1991-04;53.0;6.6
1991-05;41.1;9.9
1991-06;130.7;12.5
1991-07;41.6;18.0
1991-08;57.9;17.8
1991-09;48.8;14.3
1991-10;29.1;9.7
1991-11;69.8;5.7
1991-12;51.7;3.6
1992-01;27.4;2.8
1992-02;26.0;3.3
1992-03;53.4;4.3
1992-04;38.4;6.4
1992-05;12.2;13.4
1992-06;0.3;18.2
1992-07;67.6;18.8
1992-08;94.7;17.6
1992-09;38.6;13.7
1992-10;57.0;7.1
1992-11;109.0;5.5
1992-12;43.4;3.3
1993-01;61.0;2.4
1993-02;23.5;1.4
1993-03;12.7;2.9
1993-04;10.6;7.6
1993-05;19.1;13.9
1993-06;37.2;14.7
1993-07;128.9;15.2
1993-08;54.6;15.0
1993-09;108.7;11.2
1993-10;68.1;7.8
1993-11;52.7;2.9
1993-12;80.3;2.9
1994-01;81.2;2.8
1994-02;41.4;-0.9
1994-03;64.3;3.4
1994-04;50.7;7.9
1994-05;36.3;11.1
1994-06;54.6;13.9
1994-07;3.7;20.5
1994-08;70.0;18.3
1994-09;155.5;13.8
1994-10;40.0;8.8
1994-11;45.0;6.9
1994-12;91.0;4.7
1995-01;87.7;0.8
1995-02;48.5;3.8
1995-03;26.1;3.4
1995-04;57.7;6.6
1995-05;48.5;10.7
1995-06;64.9;14.8
1995-07;26.2;18.4
1995-08;19.6;19.4
1995-09;97.3;14.0
1995-10;42.0;12.2
1995-11;27.0;3.6
1995-12;24.2;-1.4
1996-01;6.2;-1.5
1996-02;24.2;-2.8
1996-03;13.1;0.2
1996-04;19.5;7.1
1996-05;109.8;9.3
1996-06;26.0;14.2
1996-07;56.0;15.6
1996-08;37.1;18.6
1996-09;56.8;12.0
1996-10;32.7;10.5
1996-11;56.3;5.6
1996-12;24.4;-0.1
1997-01;1.6;-1.6
1997-02;53.5;2.6
1997-03;20.2;3.7
1997-04;24.2;5.7
1997-05;77.3;10.1
1997-06;61.4;15.6
1997-07;49.5;18.3
1997-08;7.9;21.2
1997-09;27.2;14.7
1997-10;80.3;8.3
1997-11;59.7;4.7
1997-12;51.9;2.8
1998-01;40.6;2.6
1998-02;49.2;4.7
1998-03;57.3;3.4
1998-04;61.7;7.2
1998-05;39.9;12.6
1998-06;71.0;14.8
1998-07;90.0;15.5
1998-08;46.5;15.6
1998-09;68.4;14.1
1998-10;118.3;9.4
1998-11;30.3;2.3
1998-12;50.0;1.4
1999-01;54.6;1.9
1999-02;45.7;0.7
1999-03;47.6;3.5
1999-04;47.1;7.9
1999-05;51.3;10.9
1999-06;88.0;15.1
1999-07;36.4;18.7
1999-08;127.0;17.5
1999-09;52.9;16.6
1999-10;41.0;9.7
1999-11;20.2;5.6
1999-12;100.6;2.9
2000-01;35.7;2.5
2000-02;34.3;3.5
2000-03;71.8;3.9
2000-04;34.5;9.1
2000-05;41.1;13.4
2000-06;63.3;14.9
2000-07;36.9;16.0
2000-08;43.5;16.3
2000-09;84.0;13.3
2000-10;43.7;11.9
2000-11;58.7;7.9
2000-12;48.0;4.0
2001-01;36.0;2.2
2001-02;36.5;0.7
2001-03;18.7;1.4
2001-04;55.6;6.2
2001-05;24.9;12.6
2001-06;53.7;14.3
2001-07;29.3;19.1
2001-08;95.9;17.9
2001-09;124.3;13.2
2001-10;37.8;12.0
2001-11;43.4;5.4
2001-12;49.0;0.6
2002-01;76.3;2.3
2002-02;80.9;4.1
2002-03;28.9;4.5
2002-04;28.3;7.3
2002-05;55.5;13.3
2002-06;85.8;16.5
2002-07;70.6;18.3
2002-08;49.6;20.4
2002-09;23.3;15.1
2002-10;110.5;7.4
2002-11;56.7;4.5
2002-12;26.6;-0.0
2003-01;43.9;-0.2
